Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 1	Peptides 2	Peptides 3	Peptides 7	Peptides 8	Peptides 9	Razor + unique peptides 1	Razor + unique peptides 2	Razor + unique peptides 3	Razor + unique peptides 7	Razor + unique peptides 8	Razor + unique peptides 9	Unique peptides 1	Unique peptides 2	Unique peptides 3	Unique peptides 7	Unique peptides 8	Unique peptides 9	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 1	Identification type 2	Identification type 3	Identification type 7	Identification type 8	Identification type 9	Sequence coverage 1 [%]	Sequence coverage 2 [%]	Sequence coverage 3 [%]	Sequence coverage 7 [%]	Sequence coverage 8 [%]	Sequence coverage 9 [%]	Intensity	Intensity 1	Intensity 2	Intensity 3	Intensity 7	Intensity 8	Intensity 9	iBAQ	iBAQ 1	iBAQ 2	iBAQ 3	iBAQ 7	iBAQ 8	iBAQ 9	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Cre03.g190500.t1.2	Cre03.g190500.t1.2	2	2	2	>Cre03.g190500.t1.2 Glycoside-hydrolase-like protein ALS=GLH1 DBV=JGI5.5 GN=GLH1 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	2	2	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2.8	2.8	2.8	100.69	907	907	0.0070872	1.9324	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	1.1	1.1	2.8	1.1	1.1	1.1	65009	13063	12562	11161	9816.6	9170.6	9235.6	1274.7	256.14	246.31	218.85	192.48	179.82	181.09	4				310	3225;7833	True;True	3448;8372	17376;17377;17378;17379;17380;17381;42361	19485;19486;19487;46625	19487;46625		
Cre04.g216850.t1.2;Cre03.g190950.t1.2	Cre04.g216850.t1.2;Cre03.g190950.t1.2	15;15	15;15	15;15	>Cre04.g216850.t1.2 Alpha tubulin 2 ALS=TUA2 DBV=JGI5.5 GN=TUA2 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre;>Cre03.g190950.t1.2 Alpha tubulin 1 ALS=TUA1 DBV=JGI5.5 GN=TUA1 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	2	15	15	15	13	14	12	13	12	13	13	14	12	13	12	13	13	14	12	13	12	13	41.2	41.2	41.2	49.586	451	451;451	0	156.84	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	39.5	37.7	29.7	33.3	33	35.7	6555000	998630	1062300	1064600	1139600	1123400	1166400	285000	43419	46189	46287	49548	48844	50713	120				311	1090;1234;1627;1801;1809;1995;2395;2400;2941;3579;4703;4704;5576;5956;6427	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1164;1317;1743;1925;1933;2126;2561;2566;2567;3137;3821;5011;5012;5982;6380;6884	5881;5882;5883;6638;6639;6640;6641;6642;6643;8926;8927;8928;8929;8930;8931;9792;9793;9794;9795;9796;9797;9838;9839;9840;9841;9842;9843;9844;10809;10810;10811;10812;10813;10814;12921;12922;12923;12924;12925;12926;12927;12928;12929;12930;12931;12932;12947;12948;12949;12950;12951;12952;12953;12954;12955;12956;12957;15804;15805;15806;15807;15808;15809;19288;19289;19290;19291;25469;25470;25471;25472;25473;25474;25475;25476;30231;30232;30233;32285;32286;32287;32288;32289;32290;32291;34818;34819;34820;34821;34822;34823;34824;34825;34826;34827;34828;34829;34830	6466;6467;7345;7346;7347;7348;7349;7350;9918;9919;9920;9921;9922;9923;9924;9925;9926;9927;10801;10802;10803;10804;10805;10806;10807;10808;10809;10810;10811;10812;10858;10859;10860;10861;10862;10863;10864;11979;11980;11981;11982;11983;11984;11985;11986;11987;11988;11989;14315;14316;14317;14318;14319;14320;14321;14322;14323;14324;14325;14340;14341;14342;14343;14344;14345;14346;14347;14348;14349;14350;14351;14352;14353;14354;14355;14356;14357;14358;17664;17665;17666;17667;17668;17669;21594;28377;28378;28379;28380;28381;28382;28383;33383;33384;33385;35381;35382;35383;35384;35385;35386;35387;35388;35389;35390;35391;35392;38234;38235;38236;38237;38238;38239;38240;38241;38242;38243;38244;38245;38246;38247;38248;38249	6466;7347;9923;10807;10858;11984;14320;14351;17665;21594;28378;28383;33383;35382;38235	173;174;175;176	268;301;302;398
Cre03.g191050.t1.2	Cre03.g191050.t1.2	6	6	6	>Cre03.g191050.t1.2 Ran-like small GTPase ALS=RAN1 DBV=JGI5.5 GN=RAN1 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	6	6	6	3	5	5	5	5	6	3	5	5	5	5	6	3	5	5	5	5	6	33.2	33.2	33.2	25.436	223	223	0	15.52	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	11.7	22.9	22.9	26.5	29.6	33.2	563390	59320	84593	84245	94085	113490	127660	37559	3954.6	5639.5	5616.4	6272.3	7565.8	8510.8	27				312	654;3343;4836;5140;5259;5434	True;True;True;True;True;True	689;3568;5151;5528;5650;5834	3386;3387;3388;3389;17969;17970;17971;17972;17973;26128;26129;26130;26131;26132;26133;27939;27940;27941;28555;28556;28557;28558;28559;29512;29513;29514;29515;29516;29517	3598;3599;3600;3601;20101;20102;20103;29108;29109;29110;29111;29112;29113;29114;29115;29116;31001;31002;31679;31680;31681;31682;31683;31684;31685;31686;32707	3600;20103;29110;31002;31682;32707		
Cre03.g191850.t1.1	Cre03.g191850.t1.1	2	2	2	>Cre03.g191850.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	2	2	2	1	1	1	2	2	0	1	1	1	2	2	0	1	1	1	2	2	0	7.6	7.6	7.6	27.079	264	264	0.0015528	2.6594	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	3	3	3	7.6	7.6	0	100790	18508	17308	17309	23467	24200	0	7199.4	1322	1236.3	1236.4	1676.2	1728.5	0	4				313	873;6266	True;True	934;6710	4620;4621;33947;33948;33949;33950;33951	4923;37260;37261;37262	4923;37261		
Cre03.g193750.t1.1	Cre03.g193750.t1.1	10	10	10	>Cre03.g193750.t1.1 Glycine cleavage system, T protein ALS=GCST DBV=JGI5.5 GN=GCST OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	10	10	10	7	6	6	6	8	8	7	6	6	6	8	8	7	6	6	6	8	8	33.2	33.2	33.2	44.631	419	419	0	91.131	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	23.2	22.7	22.9	19.8	27.4	24.1	830090	126430	132380	110830	129820	168750	161890	27670	4214.3	4412.5	3694.4	4327.4	5625	5396.2	42				314	1303;2393;2902;2989;5081;5561;5978;6403;6974;7203	True;True;True;True;True;True;True;True;True;True	1390;2559;3093;3190;5462;5966;6403;6858;7455;7707	7029;7030;7031;7032;7033;7034;12914;15552;15553;15554;15555;15556;16087;16088;16089;16090;16091;27614;30157;30158;30159;30160;30161;30162;30163;30164;30165;30166;30167;32390;32391;32392;32393;32394;32395;34676;34677;34678;37712;37713;37714;37715;37716;37717;39021;39022	7771;7772;7773;7774;7775;7776;7777;14311;17378;17379;17380;17381;17382;17383;17384;17385;17968;17969;17970;17971;30693;33326;33327;33328;35502;35503;35504;35505;35506;38087;38088;41439;41440;41441;41442;41443;41444;41445;41446;41447;41448;41449;41450;42999;43000	7774;14311;17385;17969;30693;33326;35504;38087;41446;43000	177	58
Cre03.g193800.t1.1	Cre03.g193800.t1.1	13	13	13	>Cre03.g193800.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	13	13	13	8	7	8	11	12	9	8	7	8	11	12	9	8	7	8	11	12	9	27	27	27	55.567	500	500	0	56.894	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	16.4	15.2	16.4	23.4	25	18.2	748820	113660	82788	121190	134680	163720	132790	20238	3071.8	2237.5	3275.3	3640	4424.8	3588.9	50				315	357;835;1817;2265;2300;3823;4217;4390;5083;5690;6041;6970;7786	True;True;True;True;True;True;True;True;True;True;True;True;True	376;893;1942;2422;2460;4085;4494;4681;5464;6101;6472;7451;8320	1820;1821;1822;4431;4432;4433;4434;4435;4436;9884;9885;9886;9887;9888;12221;12222;12223;12423;12424;12425;12426;12427;20665;20666;20667;20668;20669;20670;22954;22955;22956;22957;22958;22959;23867;23868;23869;23870;23871;23872;27621;27622;30861;30862;32737;32738;32739;32740;32741;37689;42117;42118;42119;42120;42121;42122	1840;1841;1842;4745;4746;4747;4748;4749;4750;4751;4752;10901;10902;10903;13493;13494;13495;13496;13715;23167;23168;23169;23170;23171;23172;25552;25553;25554;25555;25556;25557;25558;26588;26589;26590;26591;26592;26593;30695;30696;33947;35868;35869;41421;46371;46372;46373;46374;46375;46376;46377	1842;4748;10901;13495;13715;23170;25557;26592;30696;33947;35869;41421;46373		
Cre03.g193850.t1.2	Cre03.g193850.t1.2	2	2	2	>Cre03.g193850.t1.2 Succinyl-CoA ligase alpha chain ALS=SCL1 DBV=JGI5.5 GN=SCL1 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	7	7	7	34.323	329	329	0	26.39	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	3.3	7	7	7	7	7	180500	22955	27218	26776	34488	32297	36768	10028	1275.3	1512.1	1487.6	1916	1794.3	2042.7	7				316	602;4975	True;True	636;5310	3140;3141;3142;3143;3144;3145;26875;26876;26877;26878;26879	3337;3338;3339;3340;3341;3342;29952	3342;29952		
Cre03.g193950.t1.2	Cre03.g193950.t1.2	3	3	3	>Cre03.g193950.t1.2 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	3	3	3	2	2	2	1	3	3	2	2	2	1	3	3	2	2	2	1	3	3	15.9	15.9	15.9	16.076	145	145	0	4.7246	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	11.7	11.7	11.7	6.9	15.9	15.9	190240	35076	0	26244	6033.4	73477	49410	14634	2698.2	0	2018.8	464.11	5652.1	3800.7	10				317	2174;2607;5233	True;True;True	2323;2324;2782;5623	11739;11740;11741;11742;11743;11744;11745;14010;14011;14012;14013;14014;28418;28419	13006;13007;13008;13009;15603;15604;15605;15606;15607;31543	13007;15607;31543	178	134
Cre03.g194200.t1.2	Cre03.g194200.t1.2	5	5	5	>Cre03.g194200.t1.2 Pyruvate dehydrogenase E1 beta subunit ALS=PDH2 DBV=JGI5.5 GN=PDH2 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	5	5	5	5	4	5	5	5	5	5	4	5	5	5	5	5	4	5	5	5	5	11.6	11.6	11.6	40.247	370	370	0	24.412	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	11.6	11.4	11.6	11.6	11.6	11.6	766620	130430	96603	127490	141300	134920	135880	34846	5928.7	4391	5794.9	6422.6	6132.8	6176.4	48				318	1936;1984;3819;3820;7904	True;True;True;True;True	2065;2114;4081;4082;8449;8450	10494;10495;10496;10497;10498;10499;10746;10747;10748;10749;10750;10751;20641;20642;20643;20644;20645;20646;20647;20648;20649;20650;20651;42746;42747;42748;42749;42750;42751;42752;42753;42754;42755;42756;42757;42758;42759;42760	11570;11571;11572;11573;11574;11575;11576;11577;11578;11579;11901;11902;11903;11904;11905;11906;23141;23142;23143;23144;23145;23146;23147;23148;23149;23150;23151;23152;23153;23154;47002;47003;47004;47005;47006;47007;47008;47009;47010;47011;47012;47013;47014;47015;47016;47017;47018;47019	11576;11901;23148;23150;47009	179	256
Cre03.g194350.t1.2	Cre03.g194350.t1.2	8	8	8	>Cre03.g194350.t1.2 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	8	8	8	1	2	1	8	6	7	1	2	1	8	6	7	1	2	1	8	6	7	11.8	11.8	11.8	71.74	652	652	0	41.741	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	1.8	4.1	2.3	11.8	9.5	10	165910	8988.9	9805.2	6190.8	48820	49864	42241	3950.2	214.02	233.46	147.4	1162.4	1187.2	1005.7	16				319	567;1458;1494;3722;3947;5121;5141;7651	True;True;True;True;True;True;True;True	600;1562;1602;3975;4212;5507;5529;8177	2968;2969;2970;7922;7923;7924;8133;8134;8135;20095;20096;21413;21414;21415;21416;27841;27842;27843;27844;27942;27943;27944;27945;41448;41449;41450;41451	3193;3194;3195;8761;8762;9007;9008;22492;22493;23916;23917;30917;30918;30919;31003;31004;45636	3194;8762;9008;22492;23917;30919;31003;45636	180	617
Cre03.g194400.t1.2	Cre03.g194400.t1.2	7	7	7	>Cre03.g194400.t1.2 Eukaryotic translation initiation factor 3, subunit I ALS=EIF3I DBV=JGI5.5 GN=EIF3I OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	7	7	7	6	6	5	6	6	6	6	6	5	6	6	6	6	6	5	6	6	6	22.5	22.5	22.5	36.575	324	324	0	30.403	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	19.1	19.1	15.7	19.1	19.1	19.1	415790	57962	54325	44318	85357	89053	84779	24458	3409.5	3195.6	2606.9	5021	5238.4	4987	25				320	1890;2929;3532;4379;4418;4420;5857	True;True;True;True;True;True;True	2016;3123;3773;4670;4709;4711;6278	10237;10238;10239;10240;10241;10242;15726;15727;15728;15729;15730;15731;19033;19034;19035;19036;19037;19038;19039;19040;23809;23810;23811;24015;24016;24017;24018;24019;24020;24022;24023;31764;31765;31766;31767;31768;31769	11256;17574;17575;21287;21288;21289;21290;21291;21292;21293;21294;26515;26516;26775;26776;26777;26778;26779;26780;26782;26783;34829;34830;34831;34832;34833;34834	11256;17574;21290;26516;26780;26782;34834		
Cre03.g194850.t1.2	Cre03.g194850.t1.2	12	12	12	>Cre03.g194850.t1.2 NAD-dependent malate dehydrogenase, chloroplastic ALS=MDH1 DBV=JGI5.5 GN=MDH1 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	12	12	12	11	11	11	11	9	10	11	11	11	11	9	10	11	11	11	11	9	10	48.2	48.2	48.2	36.601	355	355	0	196.32	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	42.8	42.8	42.8	41.7	32.7	36.3	6659000	1064400	1062100	1068600	1162300	1139700	1161900	332950	53220	53103	53430	58117	56985	58095	92				321	683;759;1189;1594;2718;3125;3429;4073;6772;7041;7120;7182	True;True;True;True;True;True;True;True;True;True;True;True	720;815;1270;1708;2901;3340;3664;4346;7245;7526;7608;7677	3547;3548;3549;3550;3551;3552;4033;4034;4035;4036;4037;4038;6426;6427;6428;6429;6430;6431;8718;8719;8720;8721;8722;8723;14608;14609;14610;14611;14612;14613;16823;16824;16825;16826;16827;16828;18481;18482;18483;18484;18485;18486;22194;22195;22196;22197;22198;22199;36656;38124;38125;38126;38127;38128;38129;38130;38534;38535;38536;38537;38538;38539;38889;38890;38891	3795;3796;3797;3798;3799;3800;3801;3802;3803;3804;4319;4320;4321;4322;4323;4324;4325;4326;4327;7127;7128;7129;7130;7131;7132;7133;7134;7135;7136;7137;7138;7139;7140;9711;9712;9713;9714;9715;16309;16310;16311;16312;16313;16314;16315;18860;18861;18862;18863;18864;20654;20655;20656;20657;20658;20659;20660;20661;20662;20663;20664;20665;24710;24711;24712;24713;24714;40301;41954;41955;41956;41957;41958;41959;41960;41961;41962;41963;41964;41965;41966;41967;42443;42444;42445;42446;42447;42833;42834;42835;42836;42837;42838	3798;4321;7134;9711;16310;18863;20658;24714;40301;41955;42446;42834	181;182;183	316;329;332
Cre03.g195200.t1.2	Cre03.g195200.t1.2	1	1	1	>Cre03.g195200.t1.2 Haloalkane dehalogenase-like hydrolase DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.6	3.6	3.6	39.541	361	361	0	3.3857	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	3.6	3.6	3.6	3.6	3.6	3.6	30148	5424.4	4818.6	5141.7	4704.9	4836.3	5222.2	1205.9	216.98	192.74	205.67	188.2	193.45	208.89	3				322	4097	True	4372	22326;22327;22328;22329;22330;22331	24860;24861;24862	24860		
Cre03.g195388.t1.1	Cre03.g195388.t1.1	1	1	1	>Cre03.g195388.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	1	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	9.2	9.2	9.2	9.293	87	87	0.005102	2.1058	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	0	9.2	0	0	9.2	0	29689	0	13822	0	0	15868	0	5937.9	0	2764.3	0	0	3173.6	0	2				323	5830	True	6251	31637;31638	34684;34685	34685		
Cre03.g195650.t1.2	Cre03.g195650.t1.2	1	1	1	>Cre03.g195650.t1.2 Plastid ribosomal protein S10 ALS=PRPS10 DBV=JGI5.5 GN=PRPS10 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.7	4.7	4.7	18.71	169	169	1	-2	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	4.7	4.7	4.7	4.7	4.7	4.7	408090	61202	70103	73274	68052	61265	74193	40809	6120.2	7010.3	7327.4	6805.2	6126.5	7419.3	10	+			324	3097	True	3311;3312	16680;16681;16682;16683;16684;16685;16686;16687;16688	18682;18683;18684;18685;18686;18687;18688;18689;18690;18691	18684	184	107
Cre03.g196900.t1.2	Cre03.g196900.t1.2	1	1	1	>Cre03.g196900.t1.2 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	6.2	6.2	6.2	27.98	257	257	0.0008	2.9339	By matching	By matching	By matching	By matching	By MS/MS	By matching	6.2	0	6.2	0	6.2	0	21839	6968.6	0	7237.4	0	7633.1	0	1819.9	580.72	0	603.11	0	636.1	0	1				325	5831	True	6252	31639;31640;31641	34686	34686		
Cre03.g197500.t2.1;Cre03.g197500.t1.2	Cre03.g197500.t2.1;Cre03.g197500.t1.2	8;8	8;8	8;8	>Cre03.g197500.t2.1 Predicted protein ALS=MOT6 DBV=JGI5.5 GN=MOT6 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre;>Cre03.g197500.t1.2 Predicted protein ALS=MOT6 DBV=JGI5.5 GN=MOT6 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	2	8	8	8	6	6	7	6	8	6	6	6	7	6	8	6	6	6	7	6	8	6	27.4	27.4	27.4	47.484	456	456;456	0	68.814	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	16.7	16.7	24.3	22.8	27.4	15.1	370980	76836	53937	49558	54839	99670	36140	14269	2955.2	2074.5	1906.1	2109.2	3833.5	1390	26				326	764;1156;1167;2783;4034;4315;4730;6364	True;True;True;True;True;True;True;True	820;1235;1246;2970;4304;4598;5039;6815	4053;4054;4055;6227;6228;6229;6230;6231;6232;6295;6296;6297;6298;6299;6300;14944;14945;14946;14947;14948;21989;21990;21991;21992;21993;23435;23436;23437;23438;25588;25589;25590;25591;25592;34465;34466;34467;34468;34469	4342;4343;6899;6900;6901;6902;6903;6965;6966;6967;6968;6969;6970;16677;16678;24480;24481;24482;24483;24484;26147;26148;26149;26150;28481;28482;28483;28484;37857;37858;37859	4342;6899;6968;16678;24483;26149;28483;37859		
Cre03.g198850.t1.2	Cre03.g198850.t1.2	2	2	2	>Cre03.g198850.t1.2 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	2	2	2	1	2	2	1	1	1	1	2	2	1	1	1	1	2	2	1	1	1	14.5	14.5	14.5	26.612	248	248	0	8.8468	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	11.3	14.5	14.5	3.2	3.2	3.2	102900	12417	27039	29191	11106	11964	11187	6431.5	776.04	1689.9	1824.4	694.13	747.77	699.16	11				327	400;4721	True;True	420;5029	2051;2052;2053;2054;2055;25548;25549;25550	2133;2134;2135;2136;2137;2138;28447;28448;28449;28450;28451	2137;28450		
Cre03.g198950.t1.2	Cre03.g198950.t1.2	6	6	6	>Cre03.g198950.t1.2 Predicted protein ALS=CGL30 DBV=JGI5.5 GN=CGL30 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	6	6	6	3	3	4	4	5	5	3	3	4	4	5	5	3	3	4	4	5	5	27.1	27.1	27.1	28.84	262	262	0	23.623	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	18.3	18.3	21	21	24.4	22.9	301650	45163	29850	65564	50761	59540	50777	17744	2656.6	1755.9	3856.7	2985.9	3502.3	2986.9	29				328	2155;2297;2553;5203;7052;7238	True;True;True;True;True;True	2302;2456;2727;5592;7538;7742	11620;11621;11622;11623;11624;11625;12409;13740;13741;28247;28248;28249;28250;28251;38177;38178;38179;38180;39202;39203;39204;39205;39206;39207;39208	12849;12850;12851;12852;12853;12854;13703;15277;31337;31338;31339;31340;31341;42014;42015;42016;42017;43226;43227;43228;43229;43230;43231;43232;43233;43234;43235;43236;43237	12854;13703;15277;31337;42014;43230		
Cre03.g199000.t1.2	Cre03.g199000.t1.2	9	9	9	>Cre03.g199000.t1.2 Phototropin ALS=PHT1 DBV=JGI5.5 GN=PHT1 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	9	9	9	6	5	6	7	7	8	6	5	6	7	7	8	6	5	6	7	7	8	13.5	13.5	13.5	81.394	749	749	0	31.283	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	9.5	7.7	9.5	11.1	10.9	12	322620	58606	53130	54966	51968	58991	44956	9217.6	1674.5	1518	1570.5	1484.8	1685.5	1284.5	33				329	573;1102;1307;1933;2542;2543;2664;3549;6768	True;True;True;True;True;True;True;True;True	607;1177;1394;2062;2715;2716;2845;3791;7241	3012;3013;3014;3015;3016;3017;5939;5940;5941;7052;7053;7054;7055;7056;7057;10487;13684;13685;13686;13687;13688;13689;13690;13691;13692;13693;13694;14306;19128;19129;19130;19131;19132;36635;36636;36637;36638;36639;36640	3230;3231;3232;6524;6525;6526;7803;7804;7805;11564;15227;15228;15229;15230;15231;15232;15233;15234;15235;15236;15237;15238;15968;21386;21387;21388;21389;21390;40279;40280;40281;40282;40283	3231;6524;7803;11564;15228;15236;15968;21390;40282		
Cre03.g199300.t1.2	Cre03.g199300.t1.2	1	1	1	>Cre03.g199300.t1.2 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	3.4	3.4	3.4	38.491	355	355	0	3.4248	By matching	By matching	By matching	By matching	By MS/MS	By matching	0	0	0	3.4	3.4	0	5806.8	0	0	0	2721.7	3085.2	0	241.95	0	0	0	113.4	128.55	0	1				330	3839	True	4101	20756;20757	23262	23262		
Cre03.g199535.t1.1	Cre03.g199535.t1.1	6	6	6	>Cre03.g199535.t1.1 Low molecular mass early light-induced protein DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	6	6	6	6	6	5	5	5	2	6	6	5	5	5	2	6	6	5	5	5	2	32.4	32.4	32.4	27.233	247	247	0	25.782	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	32.4	32.4	20.6	28.3	28.3	7.3	637130	135300	125710	120970	93398	89418	72336	35396	7516.9	6983.7	6720.6	5188.8	4967.7	4018.6	30				331	2922;3007;4457;5499;5633;7576	True;True;True;True;True;True	3116;3208;4748;5902;6041;8100	15681;15682;15683;15684;15685;16179;16180;16181;16182;16183;16184;24197;24198;24199;24200;29860;29861;29862;29863;29864;30511;30512;30513;41046;41047;41048;41049;41050;41051	17533;17534;18070;18071;18072;18073;18074;18075;18076;18077;18078;18079;26963;26964;33047;33048;33049;33050;33051;33634;33635;33636;45223;45224;45225;45226;45227;45228;45229;45230	17534;18076;26964;33047;33634;45226		
Cre03.g199647.t1.1	Cre03.g199647.t1.1	4	2	2	>Cre03.g199647.t1.1 Eukaryotic translation initiation factor 4A ALS=EIF4A DBV=JGI5.5 GN=EIF4A OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	4	2	2	3	2	3	4	3	3	1	1	1	2	1	1	1	1	1	2	1	1	8.8	6.3	6.3	45.594	399	399	0	3.7378	By matching	By matching	By MS/MS	By MS/MS	By matching	By matching	5.5	5.3	5.5	8.8	5.5	5.5	54040	8984	7158.5	9836.6	7803.4	11517	8740	1930	320.86	255.66	351.31	278.69	411.32	312.14	2				332	1214;1609;5651;6467	False;True;False;True	1297;1723;6059;6925	6556;6557;6558;6559;6560;6561;8801;8802;8803;8804;8805;8806;30612;30613;30614;30615;30616;35038	7266;7267;7268;9806;33710;33711;33712;33713;33714;38506	7268;9806;33714;38506		
Cre03.g199900.t1.2	Cre03.g199900.t1.2	7	7	7	>Cre03.g199900.t1.2 Eukaryotic translation initiation factor 4E ALS=EIF4E DBV=JGI5.5 GN=EIF4E OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	7	7	7	6	3	6	4	3	3	6	3	6	4	3	3	6	3	6	4	3	3	41.1	41.1	41.1	23.097	202	202	0	41.157	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	33.7	17.3	35.6	25.2	17.3	15.3	257250	62976	42750	46735	46170	24392	34227	21438	5248	3562.5	3894.5	3847.5	2032.6	2852.2	26				333	254;2921;3498;3548;6278;6551;7605	True;True;True;True;True;True;True	266;3115;3735;3790;6723;6724;7012;8129	1295;1296;1297;1298;15677;15678;15679;15680;18849;18850;18851;19124;19125;19126;19127;34013;34014;34015;34016;34017;35485;41203;41204;41205;41206;41207	1292;1293;1294;1295;17529;17530;17531;17532;21090;21091;21092;21381;21382;21383;21384;21385;37338;37339;37340;39012;45375;45376;45377;45378;45379;45380	1295;17529;21092;21385;37340;39012;45377	185	165
Cre03.g200250.t1.2	Cre03.g200250.t1.2	6	6	6	>Cre03.g200250.t1.2 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	6	6	6	6	6	6	3	3	4	6	6	6	3	3	4	6	6	6	3	3	4	21.7	21.7	21.7	37.032	346	346	0	44.169	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	21.7	21.7	21.7	9.5	9.5	11.8	534000	101610	83783	117870	69903	83747	77084	38143	7257.7	5984.5	8419.5	4993.1	5981.9	5506	28				334	641;1194;1744;2299;6135;7715	True;True;True;True;True;True	675;1276;1277;1864;2458;2459;6570;8247	3323;3324;3325;3326;3327;3328;6453;6454;6455;6456;6457;6458;9486;9487;9488;12414;12415;12416;12417;12418;12419;12420;12421;12422;33197;33198;33199;33200;33201;33202;33203;41753;41754;41755;41756	3535;7167;7168;7169;7170;7171;10464;13706;13707;13708;13709;13710;13711;13712;13713;13714;36385;36386;36387;36388;36389;36390;36391;36392;45986;45987;45988;45989	3535;7167;10464;13707;36392;45989	186;187	167;300
